symbol,date,market_cap,market,currency
000651.SZ,2016-02-29,1156.22,CN,CNY
000651.SZ,2016-03-05,1156.22,CN,CNY
000651.SZ,2016-03-10,1156.22,CN,CNY
000651.SZ,2016-03-15,1156.22,CN,CNY
000651.SZ,2016-03-20,1156.22,CN,CNY
000651.SZ,2016-03-25,1156.22,CN,CNY
000651.SZ,2016-03-30,1156.22,CN,CNY
000651.SZ,2016-04-04,1156.22,CN,CNY
000651.SZ,2016-04-09,1156.22,CN,CNY
000651.SZ,2016-04-14,1156.22,CN,CNY
000651.SZ,2016-04-19,1156.22,CN,CNY
000651.SZ,2016-04-24,1156.22,CN,CNY
000651.SZ,2016-04-29,1156.22,CN,CNY
000651.SZ,2016-05-04,1156.22,CN,CNY
000651.SZ,2016-05-09,1156.22,CN,CNY
000651.SZ,2016-05-14,1156.22,CN,CNY
000651.SZ,2016-05-19,1156.22,CN,CNY
000651.SZ,2016-05-24,1156.22,CN,CNY
000651.SZ,2016-05-29,1156.22,CN,CNY
000651.SZ,2016-06-03,1156.22,CN,CNY
000651.SZ,2016-06-08,1156.22,CN,CNY
000651.SZ,2016-06-13,1156.22,CN,CNY
000651.SZ,2016-06-18,1156.22,CN,CNY
000651.SZ,2016-06-23,1156.22,CN,CNY
000651.SZ,2016-06-28,1156.22,CN,CNY
000651.SZ,2016-07-03,1156.22,CN,CNY
000651.SZ,2016-07-08,1065.99,CN,CNY
000651.SZ,2016-07-13,1065.99,CN,CNY
000651.SZ,2016-07-18,1065.99,CN,CNY
000651.SZ,2016-07-23,1065.99,CN,CNY
000651.SZ,2016-07-28,1065.99,CN,CNY
000651.SZ,2016-08-02,1065.99,CN,CNY
000651.SZ,2016-08-07,1065.99,CN,CNY
000651.SZ,2016-08-12,1065.99,CN,CNY
000651.SZ,2016-08-17,1065.99,CN,CNY
000651.SZ,2016-08-22,1065.99,CN,CNY
000651.SZ,2016-08-27,1065.99,CN,CNY
000651.SZ,2016-09-01,1065.99,CN,CNY
000651.SZ,2016-09-06,1383.62,CN,CNY
000651.SZ,2016-09-11,1339.1,CN,CNY
000651.SZ,2016-09-16,1289.17,CN,CNY
000651.SZ,2016-09-21,1323.46,CN,CNY
000651.SZ,2016-09-26,1293.98,CN,CNY
000651.SZ,2016-10-01,1336.7,CN,CNY
000651.SZ,2016-10-06,1336.7,CN,CNY
000651.SZ,2016-10-11,1330.08,CN,CNY
000651.SZ,2016-10-16,1319.85,CN,CNY
000651.SZ,2016-10-21,1349.93,CN,CNY
000651.SZ,2016-10-26,1361.36,CN,CNY
000651.SZ,2016-10-31,1347.52,CN,CNY
000651.SZ,2016-11-05,1347.52,CN,CNY
000651.SZ,2016-11-10,1347.52,CN,CNY
000651.SZ,2016-11-15,1347.52,CN,CNY
000651.SZ,2016-11-20,1354.74,CN,CNY
000651.SZ,2016-11-25,1638.08,CN,CNY
000651.SZ,2016-11-30,1712.68,CN,CNY
000651.SZ,2016-12-05,1556.87,CN,CNY
000651.SZ,2016-12-10,1623.65,CN,CNY
000651.SZ,2016-12-15,1488.89,CN,CNY
000651.SZ,2016-12-20,1443.78,CN,CNY
000651.SZ,2016-12-25,1449.19,CN,CNY
000651.SZ,2016-12-30,1481.07,CN,CNY
000651.SZ,2017-01-04,1512.35,CN,CNY
000651.SZ,2017-01-09,1488.29,CN,CNY
000651.SZ,2017-01-14,1453.4,CN,CNY
000651.SZ,2017-01-19,1496.71,CN,CNY
000651.SZ,2017-01-24,1523.18,CN,CNY
000651.SZ,2017-01-29,1550.86,CN,CNY
000651.SZ,2017-02-03,1527.39,CN,CNY
000651.SZ,2017-02-08,1524.99,CN,CNY
000651.SZ,2017-02-13,1630.26,CN,CNY
000651.SZ,2017-02-18,1648.91,CN,CNY
000651.SZ,2017-02-23,1678.99,CN,CNY
000651.SZ,2017-02-28,1650.72,CN,CNY
000651.SZ,2017-03-05,1642.29,CN,CNY
000651.SZ,2017-03-10,1742.16,CN,CNY
000651.SZ,2017-03-15,1762.61,CN,CNY
000651.SZ,2017-03-20,1760.2,CN,CNY
000651.SZ,2017-03-25,1897.36,CN,CNY
000651.SZ,2017-03-30,1848.03,CN,CNY
000651.SZ,2017-04-04,1906.99,CN,CNY
000651.SZ,2017-04-09,1913.6,CN,CNY
000651.SZ,2017-04-14,1845.63,CN,CNY
000651.SZ,2017-04-19,1997.82,CN,CNY
000651.SZ,2017-04-24,1955.71,CN,CNY
000651.SZ,2017-04-29,1985.19,CN,CNY
000651.SZ,2017-05-04,1964.74,CN,CNY
000651.SZ,2017-05-09,1874.5,CN,CNY
000651.SZ,2017-05-14,1989.4,CN,CNY
000651.SZ,2017-05-19,1991.21,CN,CNY
000651.SZ,2017-05-24,2030.31,CN,CNY
000651.SZ,2017-05-29,2049.56,CN,CNY
000651.SZ,2017-06-03,2015.27,CN,CNY
000651.SZ,2017-06-08,2180.7,CN,CNY
000651.SZ,2017-06-13,2246.88,CN,CNY
000651.SZ,2017-06-18,2165.06,CN,CNY
000651.SZ,2017-06-23,2406.89,CN,CNY
000651.SZ,2017-06-28,2427.95,CN,CNY
000651.SZ,2017-07-03,2435.77,CN,CNY
000651.SZ,2017-07-08,2310.64,CN,CNY
000651.SZ,2017-07-13,2467.05,CN,CNY
000651.SZ,2017-07-18,2420.13,CN,CNY
000651.SZ,2017-07-23,2449.0,CN,CNY
000651.SZ,2017-07-28,2380.42,CN,CNY
000651.SZ,2017-08-02,2347.34,CN,CNY
000651.SZ,2017-08-07,2311.85,CN,CNY
000651.SZ,2017-08-12,2295.6,CN,CNY
000651.SZ,2017-08-17,2290.79,CN,CNY
000651.SZ,2017-08-22,2349.74,CN,CNY
000651.SZ,2017-08-27,2385.24,CN,CNY
000651.SZ,2017-09-01,2292.6,CN,CNY
000651.SZ,2017-09-06,2297.41,CN,CNY
000651.SZ,2017-09-11,2232.44,CN,CNY
000651.SZ,2017-09-16,2282.37,CN,CNY
000651.SZ,2017-09-21,2285.38,CN,CNY
000651.SZ,2017-09-26,2310.04,CN,CNY
000651.SZ,2017-10-01,2279.96,CN,CNY
000651.SZ,2017-10-06,2279.96,CN,CNY
000651.SZ,2017-10-11,2403.28,CN,CNY
000651.SZ,2017-10-16,2376.21,CN,CNY
000651.SZ,2017-10-21,2436.37,CN,CNY
000651.SZ,2017-10-26,2579.55,CN,CNY
000651.SZ,2017-10-31,2559.69,CN,CNY
000651.SZ,2017-11-05,2516.38,CN,CNY
000651.SZ,2017-11-10,2747.38,CN,CNY
000651.SZ,2017-11-15,2734.75,CN,CNY
000651.SZ,2017-11-20,2756.41,CN,CNY
000651.SZ,2017-11-25,2737.76,CN,CNY
000651.SZ,2017-11-30,2553.68,CN,CNY
000651.SZ,2017-12-05,2556.69,CN,CNY
000651.SZ,2017-12-10,2507.96,CN,CNY
000651.SZ,2017-12-15,2593.38,CN,CNY
000651.SZ,2017-12-20,2675.8,CN,CNY
000651.SZ,2017-12-25,2731.74,CN,CNY
000651.SZ,2017-12-30,2628.87,CN,CNY
000651.SZ,2018-01-04,2802.13,CN,CNY
000651.SZ,2018-01-09,2971.77,CN,CNY
000651.SZ,2018-01-14,3206.38,CN,CNY
000651.SZ,2018-01-19,3095.09,CN,CNY
000651.SZ,2018-01-24,3354.97,CN,CNY
000651.SZ,2018-01-29,3355.57,CN,CNY
000651.SZ,2018-02-03,3338.13,CN,CNY
000651.SZ,2018-02-08,3068.02,CN,CNY
000651.SZ,2018-02-13,3152.24,CN,CNY
000651.SZ,2018-02-18,3262.93,CN,CNY
000651.SZ,2018-02-23,3252.1,CN,CNY
000651.SZ,2018-02-28,3109.53,CN,CNY
000651.SZ,2018-03-05,3105.92,CN,CNY
000651.SZ,2018-03-10,3190.74,CN,CNY
000651.SZ,2018-03-15,3236.46,CN,CNY
000651.SZ,2018-03-20,3140.21,CN,CNY
000651.SZ,2018-03-25,2940.49,CN,CNY
000651.SZ,2018-03-30,2821.38,CN,CNY
000651.SZ,2018-04-04,2815.36,CN,CNY
000651.SZ,2018-04-09,2750.39,CN,CNY
000651.SZ,2018-04-14,2854.46,CN,CNY
000651.SZ,2018-04-19,2863.49,CN,CNY
000651.SZ,2018-04-24,3019.3,CN,CNY
000651.SZ,2018-04-29,2651.73,CN,CNY
000651.SZ,2018-05-04,2760.02,CN,CNY
000651.SZ,2018-05-09,2899.58,CN,CNY
000651.SZ,2018-05-14,2922.44,CN,CNY
000651.SZ,2018-05-19,2903.79,CN,CNY
000651.SZ,2018-05-24,2743.77,CN,CNY
000651.SZ,2018-05-29,2771.45,CN,CNY
000651.SZ,2018-06-03,2802.13,CN,CNY
000651.SZ,2018-06-08,2896.57,CN,CNY
000651.SZ,2018-06-13,3000.65,CN,CNY
000651.SZ,2018-06-18,2948.31,CN,CNY
000651.SZ,2018-06-23,2891.16,CN,CNY
000651.SZ,2018-06-28,2717.91,CN,CNY
000651.SZ,2018-07-03,2683.02,CN,CNY
000651.SZ,2018-07-08,2658.95,CN,CNY
000651.SZ,2018-07-13,2794.91,CN,CNY
000651.SZ,2018-07-18,2698.06,CN,CNY
000651.SZ,2018-07-23,2677.0,CN,CNY
000651.SZ,2018-07-28,2654.14,CN,CNY
000651.SZ,2018-08-02,2473.67,CN,CNY
000651.SZ,2018-08-07,2431.56,CN,CNY
000651.SZ,2018-08-12,2448.4,CN,CNY
000651.SZ,2018-08-17,2285.98,CN,CNY
000651.SZ,2018-08-22,2362.98,CN,CNY
000651.SZ,2018-08-27,2426.75,CN,CNY
000651.SZ,2018-09-01,2343.13,CN,CNY
000651.SZ,2018-09-06,2196.34,CN,CNY
000651.SZ,2018-09-11,2179.5,CN,CNY
000651.SZ,2018-09-16,2230.63,CN,CNY
000651.SZ,2018-09-21,2398.47,CN,CNY
000651.SZ,2018-09-26,2365.99,CN,CNY
000651.SZ,2018-10-01,2418.32,CN,CNY
000651.SZ,2018-10-06,2418.32,CN,CNY
000651.SZ,2018-10-11,2228.83,CN,CNY
000651.SZ,2018-10-16,2292.6,CN,CNY
000651.SZ,2018-10-21,2323.88,CN,CNY
000651.SZ,2018-10-26,2334.1,CN,CNY
000651.SZ,2018-10-31,2289.59,CN,CNY
000651.SZ,2018-11-05,2405.09,CN,CNY
000651.SZ,2018-11-10,2324.48,CN,CNY
000651.SZ,2018-11-15,2317.86,CN,CNY
000651.SZ,2018-11-20,2285.38,CN,CNY
000651.SZ,2018-11-25,2253.49,CN,CNY
000651.SZ,2018-11-30,2216.8,CN,CNY
000651.SZ,2018-12-05,2246.27,CN,CNY
000651.SZ,2018-12-10,2155.44,CN,CNY
000651.SZ,2018-12-15,2245.67,CN,CNY
000651.SZ,2018-12-20,2183.71,CN,CNY
000651.SZ,2018-12-25,2158.44,CN,CNY
000651.SZ,2018-12-30,2147.01,CN,CNY
000651.SZ,2019-01-04,2204.77,CN,CNY
000651.SZ,2019-01-09,2256.5,CN,CNY
000651.SZ,2019-01-14,2266.73,CN,CNY
000651.SZ,2019-01-19,2344.33,CN,CNY
000651.SZ,2019-01-24,2368.99,CN,CNY
000651.SZ,2019-01-29,2472.47,CN,CNY
000651.SZ,2019-02-03,2524.2,CN,CNY
000651.SZ,2019-02-08,2524.2,CN,CNY
000651.SZ,2019-02-13,2617.44,CN,CNY
000651.SZ,2019-02-18,2652.34,CN,CNY
000651.SZ,2019-02-23,2704.67,CN,CNY
000651.SZ,2019-02-28,2695.05,CN,CNY
000651.SZ,2019-03-05,2832.21,CN,CNY
000651.SZ,2019-03-10,2677.6,CN,CNY
000651.SZ,2019-03-15,2822.58,CN,CNY
000651.SZ,2019-03-20,2803.93,CN,CNY
000651.SZ,2019-03-25,2706.48,CN,CNY
000651.SZ,2019-03-30,2840.03,CN,CNY
000651.SZ,2019-04-04,2840.03,CN,CNY
000651.SZ,2019-04-09,3123.97,CN,CNY
000651.SZ,2019-04-14,3281.58,CN,CNY
000651.SZ,2019-04-19,3910.23,CN,CNY
000651.SZ,2019-04-24,3604.02,CN,CNY
000651.SZ,2019-04-29,3447.62,CN,CNY
000651.SZ,2019-05-04,3343.54,CN,CNY
000651.SZ,2019-05-09,3116.15,CN,CNY
000651.SZ,2019-05-14,3209.99,CN,CNY
000651.SZ,2019-05-19,3296.62,CN,CNY
000651.SZ,2019-05-24,3242.48,CN,CNY
000651.SZ,2019-05-29,3254.51,CN,CNY
000651.SZ,2019-06-03,3158.26,CN,CNY
000651.SZ,2019-06-08,3164.27,CN,CNY
000651.SZ,2019-06-13,3084.27,CN,CNY
000651.SZ,2019-06-18,3069.83,CN,CNY
000651.SZ,2019-06-23,3206.99,CN,CNY
000651.SZ,2019-06-28,3308.65,CN,CNY
000651.SZ,2019-07-03,3448.82,CN,CNY
000651.SZ,2019-07-08,3397.68,CN,CNY
000651.SZ,2019-07-13,3397.68,CN,CNY
000651.SZ,2019-07-18,3272.56,CN,CNY
000651.SZ,2019-07-23,3272.56,CN,CNY
000651.SZ,2019-07-28,3336.32,CN,CNY
000651.SZ,2019-08-02,3214.21,CN,CNY
000651.SZ,2019-08-07,3024.11,CN,CNY
000651.SZ,2019-08-12,3030.73,CN,CNY
000651.SZ,2019-08-17,3083.06,CN,CNY
000651.SZ,2019-08-22,3301.43,CN,CNY
000651.SZ,2019-08-27,3329.71,CN,CNY
000651.SZ,2019-09-01,3338.73,CN,CNY
000651.SZ,2019-09-06,3537.25,CN,CNY
000651.SZ,2019-09-11,3531.23,CN,CNY
000651.SZ,2019-09-16,3545.07,CN,CNY
000651.SZ,2019-09-21,3491.53,CN,CNY
000651.SZ,2019-09-26,3466.26,CN,CNY
000651.SZ,2019-10-01,3447.01,CN,CNY
000651.SZ,2019-10-06,3447.01,CN,CNY
000651.SZ,2019-10-11,3523.41,CN,CNY
000651.SZ,2019-10-16,3550.48,CN,CNY
000651.SZ,2019-10-21,3515.59,CN,CNY
000651.SZ,2019-10-26,3437.99,CN,CNY
000651.SZ,2019-10-31,3531.23,CN,CNY
000651.SZ,2019-11-05,3854.88,CN,CNY
000651.SZ,2019-11-10,3826.61,CN,CNY
000651.SZ,2019-11-15,3540.86,CN,CNY
000651.SZ,2019-11-20,3540.86,CN,CNY
000651.SZ,2019-11-25,3477.69,CN,CNY
000651.SZ,2019-11-30,3471.68,CN,CNY
000651.SZ,2019-12-05,3746.0,CN,CNY
000651.SZ,2019-12-10,3739.38,CN,CNY
000651.SZ,2019-12-15,3789.31,CN,CNY
000651.SZ,2019-12-20,3880.75,CN,CNY
000651.SZ,2019-12-25,3874.13,CN,CNY
000651.SZ,2019-12-30,3945.12,CN,CNY
000651.SZ,2020-01-04,4036.56,CN,CNY
000651.SZ,2020-01-09,4203.79,CN,CNY
000651.SZ,2020-01-14,4199.58,CN,CNY
000651.SZ,2020-01-19,4085.28,CN,CNY
000651.SZ,2020-01-24,3846.46,CN,CNY
000651.SZ,2020-01-29,3846.46,CN,CNY
000651.SZ,2020-02-03,3535.45,CN,CNY
000651.SZ,2020-02-08,3752.61,CN,CNY
000651.SZ,2020-02-13,3783.89,CN,CNY
000651.SZ,2020-02-18,3739.38,CN,CNY
000651.SZ,2020-02-23,3768.25,CN,CNY
000651.SZ,2020-02-28,3561.31,CN,CNY
000651.SZ,2020-03-04,3598.61,CN,CNY
000651.SZ,2020-03-09,3563.12,CN,CNY
000651.SZ,2020-03-14,3423.55,CN,CNY
000651.SZ,2020-03-19,3025.91,CN,CNY
000651.SZ,2020-03-24,3076.44,CN,CNY
000651.SZ,2020-03-29,3162.47,CN,CNY
000651.SZ,2020-04-03,3125.77,CN,CNY
000651.SZ,2020-04-08,3116.15,CN,CNY
000651.SZ,2020-04-13,3399.49,CN,CNY
000651.SZ,2020-04-18,3290.6,CN,CNY
000651.SZ,2020-04-23,3300.83,CN,CNY
000651.SZ,2020-04-28,3308.05,CN,CNY
000651.SZ,2020-05-03,3294.82,CN,CNY
000651.SZ,2020-05-08,3428.37,CN,CNY
000651.SZ,2020-05-13,3512.59,CN,CNY
000651.SZ,2020-05-18,3488.52,CN,CNY
000651.SZ,2020-05-23,3345.95,CN,CNY
000651.SZ,2020-05-28,3418.14,CN,CNY
000651.SZ,2020-06-02,3494.54,CN,CNY
000651.SZ,2020-06-07,3619.67,CN,CNY
000651.SZ,2020-06-12,3544.47,CN,CNY
000651.SZ,2020-06-17,3475.29,CN,CNY
000651.SZ,2020-06-22,3444.61,CN,CNY
000651.SZ,2020-06-27,3442.2,CN,CNY
000651.SZ,2020-07-02,3501.76,CN,CNY
000651.SZ,2020-07-07,3614.25,CN,CNY
000651.SZ,2020-07-12,3548.68,CN,CNY
000651.SZ,2020-07-17,3441.6,CN,CNY
000651.SZ,2020-07-22,3580.56,CN,CNY
000651.SZ,2020-07-27,3415.73,CN,CNY
000651.SZ,2020-08-01,3423.55,CN,CNY
000651.SZ,2020-08-06,3382.04,CN,CNY
000651.SZ,2020-08-11,3360.99,CN,CNY
000651.SZ,2020-08-16,3383.85,CN,CNY
000651.SZ,2020-08-21,3261.73,CN,CNY
000651.SZ,2020-08-26,3212.4,CN,CNY
000651.SZ,2020-08-31,3278.57,CN,CNY
000651.SZ,2020-09-05,3298.43,CN,CNY
000651.SZ,2020-09-10,3284.59,CN,CNY
000651.SZ,2020-09-15,3354.97,CN,CNY
000651.SZ,2020-09-20,3347.75,CN,CNY
000651.SZ,2020-09-25,3255.11,CN,CNY
000651.SZ,2020-09-30,3206.38,CN,CNY
000651.SZ,2020-10-05,3206.38,CN,CNY
000651.SZ,2020-10-10,3293.61,CN,CNY
000651.SZ,2020-10-15,3485.51,CN,CNY
000651.SZ,2020-10-20,3468.07,CN,CNY
000651.SZ,2020-10-25,3508.37,CN,CNY
000651.SZ,2020-10-30,3514.99,CN,CNY
000651.SZ,2020-11-04,3740.58,CN,CNY
000651.SZ,2020-11-09,4063.63,CN,CNY
000651.SZ,2020-11-14,3986.02,CN,CNY
000651.SZ,2020-11-19,4084.68,CN,CNY
000651.SZ,2020-11-24,4018.51,CN,CNY
000651.SZ,2020-11-29,4010.09,CN,CNY
000651.SZ,2020-12-04,4150.85,CN,CNY
000651.SZ,2020-12-09,3766.45,CN,CNY
000651.SZ,2020-12-14,3775.47,CN,CNY
000651.SZ,2020-12-19,3691.85,CN,CNY
000651.SZ,2020-12-24,3613.05,CN,CNY
000651.SZ,2020-12-29,3661.78,CN,CNY
000651.SZ,2021-01-03,3726.14,CN,CNY
000651.SZ,2021-01-08,3892.18,CN,CNY
000651.SZ,2021-01-13,3905.41,CN,CNY
000651.SZ,2021-01-18,3835.63,CN,CNY
000651.SZ,2021-01-23,3623.27,CN,CNY
000651.SZ,2021-01-28,3446.41,CN,CNY
000651.SZ,2021-02-02,3587.18,CN,CNY
000651.SZ,2021-02-07,3545.67,CN,CNY
000651.SZ,2021-02-12,3638.92,CN,CNY
000651.SZ,2021-02-17,3638.92,CN,CNY
